,estados,grado promedio de escolaridad de la poblacion de 15 y mas anos,poblacion de 6 a 14 anos que no especifico si sabe o no leer y escribir,poblacion de 6 a 14 anos que no sabe leer y escribir,poblacion de 6 a 14 anos que sabe leer y escribir,poblacion de 8 a 14 anos que sabe leer y escribir,porcentaje de la poblacion de 12 a 14 anos que asiste a la escuela,porcentaje de la poblacion de 15 a 24 anos que asiste a la escuela,porcentaje de la poblacion de 15 anos y mas con instruccion media superior,porcentaje de la poblacion de 15 anos y mas con instruccion no especificada,porcentaje de la poblacion de 15 anos y mas con instruccion superior,porcentaje de la poblacion de 3 a 5 anos que asiste a la escuela,porcentaje de la poblacion de 3 anos y mas que asiste a la escuela,porcentaje de la poblacion de 3 anos y mas que no asiste a la escuela,porcentaje de la poblacion de 3 anos y mas que no especifico si asiste o no a la escuela,porcentaje de la poblacion de 6 a 11 anos que asiste a la escuela,porcentaje de personas de 15 anos y mas alfabetas,porcentaje de poblacion de 15 anos y mas con escolaridad basica,porcentaje de poblacion de 15 anos y mas sin escolaridad,porcentaje de poblacion de 25 anos y mas alfabeta,tasa de alfabetizacion de las personas de 15 a 24 anos
0,aguascalientes,10.3491343202918,726.0,17770.0,216002.0,178165.0,91.220201760586,44.5856355724419,23.5976567613562,0.154682242055089,24.5933214233461,59.9989851965547,30.1180637980824,69.8468091714828,0.0351270304347987,96.8196932660212,97.7402146877864,49.3423838968759,2.31195567636663,97.2407320266131,99.2443636167066
1,baja california,10.2026545439928,4478.0,52605.0,495977.0,421200.0,92.1158388644841,46.4324586355446,27.9796551463349,0.336270831757732,21.6082717143256,50.4735118606164,27.0316025837727,72.4407922358318,0.527605180395498,93.9189152260765,97.7485847344907,47.3120536423616,2.76374866522024,97.4314394790029,98.824996417672
2,baja california sur,10.3425484887369,654.0,12780.0,107786.0,92208.0,94.3085748792271,46.5615829122924,29.1641564248802,0.250354780839157,23.1352250515436,62.8091296714322,28.0970470920408,71.7793109266294,0.123641981329797,96.30320585203,97.4234878303478,44.5094318151391,2.94083192759793,96.9798426956634,98.9849635434
3,campeche,9.62513019267048,624.0,14959.0,129890.0,109146.0,90.3870504811751,47.0355184052315,22.2695332461626,0.136466598628599,22.337912968866,69.9365320134121,28.8190017848037,71.1402482334086,0.0407499817877176,95.1115823384885,94.0044014870759,48.6507816812626,6.60530550508016,92.6675513642225,98.6861881658053
4,chiapas,7.78321829739686,3217.0,202707.0,866691.0,758465.0,81.6681090943114,34.577641004944,18.241451738804,0.0985341871717084,13.3263817477632,62.445033928994,30.32812684234,69.6305757952299,0.0412973624300912,93.0859472843516,86.216105681186,55.0410207618553,13.2926115644057,82.5904019445275,96.2939158510746
5,chihuahua,9.99694205883146,3157.0,55258.0,528252.0,446913.0,90.1295078700936,46.6478763272954,23.80584310294,0.287294669915581,21.7179870246394,51.9013489405652,28.1522177532294,71.7572291248866,0.0905531218839979,94.584187381934,97.0962141647268,51.1213661486575,3.06750905384742,96.7592482850393,98.2282948157402
6,ciudad de mexico,11.4820394079325,6819.0,69130.0,984731.0,821303.0,93.4366795849481,55.2533564250099,27.6397689579857,0.187478179990977,34.6380975535754,71.9629964732168,25.115795999336,74.5202905083942,0.363913492269875,95.3548733554104,98.1526178379857,35.5267441267326,2.00791118171538,97.9171380874982,99.2191907070654
7,coahuila de zaragoza,10.4319955651311,2000.0,39038.0,445183.0,367410.0,92.6132399801394,45.2682455111254,24.9135702481337,0.349474945733168,23.6906453824409,60.1797502405862,28.3640869673758,71.5718578747244,0.064055157899823,96.1187605468463,97.9928611269887,49.1167501031804,1.92955932051191,97.7416161123218,98.83226479909
8,colima,10.0467299821295,436.0,10818.0,97826.0,82735.0,91.056010626522,49.1608752895689,23.9668723214543,0.139859637012109,24.383934478097,65.4501145957237,28.0135920471092,71.9413964428047,0.0450115100861506,95.4636433428383,96.4966778842005,47.5125478183335,3.99678574510312,95.8341929006615,98.9050547472626
9,durango,9.74606943077146,1165.0,29229.0,279776.0,234171.0,90.9438090502238,44.0103228904093,22.6763891876607,0.190943704292661,19.5515863453968,59.1350830546317,29.8905450941984,70.0451409197304,0.0643139860712634,96.3014025379258,97.0599078270956,54.7293912681262,2.85168949452367,96.4636388843566,98.9414930917499
10,estados unidos mexicanos,9.73805046766345,102776.0,1871713.0,17554529.0,14797990.0,90.4821497704118,45.3181093501112,23.957896673986,0.193286498660206,21.5852248638655,63.3393023936695,28.1685616253252,71.711579152812,0.119859221862826,95.4812398406711,95.0368532952485,49.3360891102246,4.92750285326371,93.9702393058144,98.6924169235309
11,guanajuato,9.04378669807942,5742.0,92904.0,885523.0,746550.0,88.2608337226237,38.7973961245709,21.0259663616933,0.168746942208487,15.93164974366,61.8534042269583,27.8022762365825,72.1069338466282,0.0907899167893206,95.2347521510698,94.5326300514273,56.5455602360864,6.32807671635179,93.1280595964295,98.93719930556
12,guerrero,8.37269861691862,2230.0,87642.0,539703.0,464178.0,89.070311181816,41.8162814889558,21.8724147606056,0.122265140346011,15.4940760010709,75.2477390802386,31.0471280313822,68.9106040023288,0.0422679662889687,95.9636613445776,87.4243920961969,50.8972198127328,11.6140242852447,84.0566178032717,97.8447248758026
13,hidalgo,9.37075890511716,1741.0,39154.0,459299.0,386244.0,94.1651046226709,49.1077809956275,23.0031067857638,0.138273599051139,18.5762102108323,63.871528443439,29.5943797015651,70.3611026124173,0.0445176860175415,97.2661517343361,93.2538303840938,52.2196102904576,6.06279911389523,91.5760349789932,99.0935845997497
14,jalisco,9.89735341720182,6715.0,118430.0,1162772.0,975801.0,89.1540510642478,43.5190881714859,23.7143335554619,0.180507018201353,22.3392572811952,60.2527741956395,27.9008916390906,72.0067408446023,0.0923675163071191,94.834588266472,96.9322849211002,50.3467804791485,3.41912166599307,96.3310999094184,98.9519350029353
15,michoacan de ocampo,8.59549015751925,3221.0,92930.0,683724.0,580552.0,85.8344810118567,38.7956761307685,19.171875072527,0.212185000719468,16.4244071352646,64.1123724446745,27.9990101292618,71.8881383753835,0.11285149535464,94.8694116553583,92.7603545352005,56.610401184569,7.58113160691989,91.1248715464785,98.1878637991215
16,morelos,9.84478155712582,1432.0,24358.0,265391.0,222257.0,90.8235436966882,45.8415450121655,24.6980568181137,0.173100109785416,21.2764668403438,61.97586742949,27.0986347332795,72.8299579979055,0.0714072688149943,95.6933122608551,95.3894119989002,48.8929915094396,4.95938472231746,94.4290120957603,98.816301703163
17,mexico,10.0823980468445,24003.0,179003.0,2360317.0,1975695.0,92.1291938555028,48.3948539053552,27.1255665082999,0.196553850670387,21.3521965734431,60.646456852354,28.2838536000302,71.5891480829896,0.126998316980173,95.3016759776536,96.8591190692921,47.9608733363168,3.36480973126989,96.2062124509794,99.1101809792021
18,nayarit,9.72952373557258,670.0,21475.0,182759.0,154264.0,91.6044942484321,46.9299549951426,24.1634473826945,0.163823734516997,21.7238020389413,64.0466691757621,29.6617376285285,70.2976576073494,0.0406047641220731,96.0739147495241,95.3609103286437,49.2352309582581,4.71369588558905,94.4334387034065,98.5864113087095
19,nuevo leon,10.7409594523138,5369.0,63377.0,760365.0,632305.0,93.2195185861836,44.0870452854399,25.4757162255049,0.453788511474249,26.2274388566847,62.3953414850546,26.8452495069119,72.9331150383868,0.221635454701257,95.8009297593341,98.0932353173258,46.0634565010256,1.77959990531059,97.8922250186264,98.7955585709864
20,oaxaca,8.11853599728597,2571.0,78056.0,626237.0,535135.0,89.3474637514673,40.0650209636555,18.5384634513369,0.0955713885339873,14.0116258359976,72.6567227786064,28.9913971357823,70.9651545707503,0.0434482934674393,96.5844162789454,88.0864416997728,57.1556892867968,10.1986500373347,85.1190256856879,98.3181244067771
21,puebla,9.16047208223702,4658.0,102130.0,973929.0,819552.0,88.9754977324983,44.7897263309465,21.8659414209543,0.121786911263371,19.4190710131099,69.1180789113535,29.8697043655113,70.0857823139938,0.0445133204949458,96.0843457345523,92.914032241219,52.1651365474766,6.42806410719583,91.0349021858457,98.687859024015
22,queretaro,10.4845990231161,1737.0,28115.0,326105.0,271269.0,91.3444501903204,44.4339112923032,23.1499623210249,0.187720028343587,27.4747775815722,62.460491125699,28.0747346026962,71.8454753542846,0.07979004301917,95.8797973092211,96.3428899211553,45.1057260794745,4.08181398958486,95.507366885485,99.1561471585048
23,quintana roo,10.2392894887778,1823.0,28565.0,247471.0,208825.0,91.4527562522015,40.4091662453846,28.7331568040024,0.29023683586759,21.5590734167269,55.6963887837895,26.3346399858493,73.4469379254466,0.218422088704018,93.886455876927,96.6464742820734,45.8234962810687,3.59403666233438,96.0022492443945,98.8459003385188
24,san luis potosi,9.61312740129257,2496.0,35962.0,407589.0,341917.0,92.5510505096857,44.4244596913933,22.3270730105665,0.201540206554833,20.5656020536087,74.1041033588933,29.2364527162656,70.6639074085856,0.0996398751487808,96.5550490286267,94.7864127514775,51.897797146439,5.00798758283088,93.5350561491689,98.9272029074386
25,sinaloa,10.2235084210957,1806.0,36602.0,423134.0,353867.0,92.7641839891591,53.3305950390593,24.9870270355701,0.127007736364778,26.9682247979861,62.723778595359,29.310976444513,70.6344021363352,0.0546214191518084,96.2897167467502,96.3287169189407,44.103030361566,3.81471006851306,95.570026426139,98.9025610764968
26,sonora,10.4031969176912,2205.0,46085.0,408131.0,348731.0,93.4487384222293,48.8139497413068,26.7474444025699,0.252900010278289,24.033254773544,53.9292401419669,28.0759849543317,71.8367490340941,0.0872660115741915,96.2563902478066,97.7650581444623,46.6584740887936,2.30792672481413,97.4038048461455,98.9978496933675
27,tabasco,9.69339567490985,1536.0,42302.0,358182.0,301997.0,92.639385611565,48.5064763415279,25.4334304489074,0.10348443357289,20.4700103942076,77.296396896619,30.9055905207317,69.0551694568979,0.0392400223703163,96.2359540127412,94.8140512296571,49.4696780312673,4.52339669204486,93.682238313862,98.6631924776255
28,tamaulipas,10.0922087841223,2508.0,45839.0,492459.0,414056.0,91.567445033783,46.9282262605049,25.7756520925516,0.240592119957262,22.5421272010576,55.5511938693656,27.1497952406253,72.7502084123449,0.0999963470297937,95.3879317547583,97.1894448837673,48.3710513766231,3.07057720981051,96.7117541141089,98.8984722303778
29,tlaxcala,9.83316962187281,952.0,16874.0,195624.0,163280.0,92.4486650839269,46.1780866192631,24.4842609245526,0.147104716384571,19.5984954872831,61.4307799225609,29.1671601383999,70.7856255459652,0.0472143156348537,96.3838979515355,96.5071612177355,52.445243785262,3.32489508651769,95.6586810141382,99.1736978192087
30,veracruz de ignacio de la llave,8.74562905823893,3979.0,131758.0,1089659.0,925858.0,89.2432709673812,45.2162422324879,21.7435586793887,0.100242595937231,18.2133565182941,61.2140716619013,26.5160413008045,73.4501863118674,0.0337723873280715,95.4225209365521,91.4112937477022,51.7243759886104,8.21846621776962,89.5829838231459,98.2802654098235
31,yucatan,9.59471829566621,1189.0,32779.0,302990.0,254508.0,92.9535377753488,47.5346562664188,22.5525345770872,0.17368534015314,22.1371508242267,72.8574459058125,28.0293474841951,71.8928522593889,0.0778002564159263,97.1397380889531,93.8425234039155,49.8433320855775,5.29329717295537,92.3743146642685,98.9231802934163
32,zacatecas,9.24556342669432,917.0,23079.0,251052.0,209433.0,90.4774639255669,43.6186202780664,19.0058167366351,0.133278690218308,17.4866290823056,67.0236983729006,30.269015117045,69.6871815527269,0.0438033302281494,96.7026977436955,96.0714642403287,59.4365273152437,3.93774817559726,95.1410626608092,99.122109001422
